Taster,Product,Coolness,Saltiness,Crunchiness,Bitterness,Chocolate
Taster 01,Prototype A,4.2,3.7,11.0,6.9,2.4
Taster 01,Prototype B,2.4,3.7,11.0,11.9,9.2
Taster 01,Prototype C,5.9,2.4,8.5,3.0,4.9
Taster 01,Prototype D,10.5,3.4,5.3,9.8,7.2
Taster 01,Prototype E,12.0,2.7,4.2,6.4,10.4
Taster 01,Prototype F,5.7,7.2,6.1,9.7,10.2
Taster 01,Prototype G,3.5,3.1,5.0,5.8,8.7
Taster 01,Prototype H,6.9,8.7,2.8,5.1,2.0
Taster 01,Prototype I,10.0,10.0,11.3,2.5,2.7
Taster 01,Prototype J,11.3,3.5,5.0,4.6,7.4
Taster 02,Prototype A,5.6,2.6,13.0,5.4,2.5
Taster 02,Prototype B,2.6,4.0,10.8,10.8,11.8
Taster 02,Prototype C,5.3,4.0,10.4,2.5,7.4
Taster 02,Prototype D,8.5,3.0,5.2,11.9,9.0
Taster 02,Prototype E,11.0,3.1,3.3,6.8,10.2
Taster 02,Prototype F,4.5,8.1,6.8,10.6,9.8
Taster 02,Prototype G,3.2,2.4,5.5,7.3,10.9
Taster 02,Prototype H,7.8,9.5,5.5,6.9,5.4
Taster 02,Prototype I,8.9,11.8,12.7,2.0,3.5
Taster 02,Prototype J,10.9,3.1,6.7,5.0,8.9
Taster 03,Prototype A,2.7,2.2,12.0,3.3,2.9
Taster 03,Prototype B,1.5,4.4,11.0,12.2,9.6
Taster 03,Prototype C,5.7,2.2,9.8,1.6,7.4
Taster 03,Prototype D,10.2,3.2,6.4,11.1,6.9
Taster 03,Prototype E,8.5,2.6,3.2,5.0,11.8
Taster 03,Prototype F,6.7,8.4,6.9,10.3,11.5
Taster 03,Prototype G,4.6,3.1,4.7,3.5,6.5
Taster 03,Prototype H,7.1,9.9,5.4,7.7,5.0
Taster 03,Prototype I,9.4,12.8,10.3,4.1,4.1
Taster 03,Prototype J,11.2,3.1,5.9,7.9,6.3
Taster 04,Prototype A,0.9,4.6,12.2,5.8,3.2
Taster 04,Prototype B,2.6,3.1,12.7,12.4,12.0
Taster 04,Prototype C,7.2,3.5,8.3,3.2,6.4
