Taster ID,Serving 1 Code,Serving 1 Score,Serving 2 Code,Serving 2 Score,Serving 3 Code,Serving 3 Score,Serving 4 Code,Serving 4 Score
1,222,6,730,5,679,3,030,6
2,692,4,087,7,336,8,263,3
3,539,5,758,6,222,5,692,5
4,730,6,679,2,087,7,539,6
5,030,5,336,9,758,5,730,4
6,263,4,222,7,679,4,336,8
7,692,6,030,7,087,8,758,7
8,539,4,263,5,730,6,222,5
9,679,3,692,5,336,9,539,5
10,087,6,030,6,263,4,758,6
11,222,7,336,9,730,5,087,6
12,679,2,692,4,263,3,030,5
13,539,6,758,7,222,6,679,4
14,730,5,336,8,692,6,539,5
15,087,8,030,7,263,5,222,6
16,758,5,679,3,336,9,692,4
17,730,4,263,4,087,7,030,6
18,539,4,222,5,692,5,758,6
19,336,8,679,3,730,5,263,4
20,087,7,030,6,539,6,222,7
21,692,5,758,5,679,2,336,9
22,730,6,263,5,030,7,087,8
23,539,5,222,6,336,8,692,5
24,679,4,758,6,730,5,263,3
25,030,5,087,6,539,5,222,5
26,336,9,692,6,758,7,679,2
27,263,5,730,5,030,6,087,7
